id,text,category,stars
1,"Absolutely fantastic product! The quality exceeded my expectations and I will definitely buy again.",Product Quality,5
2,"Best purchase I have made all year. Lightning fast delivery and the item is perfect.",Delivery,5
3,"Outstanding customer service — they resolved my issue within minutes. Truly impressed.",Customer Service,5
4,"The product is wonderful. Beautifully crafted and exactly as described. Love it.",Product Quality,5
5,"Incredible value for money. Premium quality at a reasonable price. Highly recommended.",Price,5
6,"Arrived in two days, perfectly packaged. The product itself is superb. Very happy.",Delivery,5
7,"Excellent experience from start to finish. The team was helpful and responsive throughout.",Overall Experience,5
8,"I am so pleased with this purchase. The product is brilliant and works exactly as expected.",Product Quality,4
9,"Great product, great price, great service. Couldn't ask for more. Will return.",Overall Experience,5
10,"Amazing quality. Far better than I anticipated. The photos don't do it justice.",Product Quality,5
11,"Happy with the purchase overall. Good quality and arrived on time.",Overall Experience,4
12,"Satisfied customer. Product does what it says. Service was professional.",Customer Service,4
13,"The product arrived and seems okay. Not what I expected but it works.",Product Quality,3
14,"Delivery was slow but the product is acceptable. Nothing special.",Delivery,2
15,"Average experience. The item is okay. Customer service was indifferent.",Overall Experience,3
16,"Product is fine. Nothing to get excited about but nothing wrong either.",Product Quality,3
17,"Shipping took longer than stated. Product is decent but feels slightly overpriced.",Price,3
18,"It is what it is. Does the job. Probably would not re-order.",Overall Experience,3
19,"The product arrived intact. Service was neutral. Packaging was standard.",Delivery,3
20,"Acceptable quality. Would consider alternatives before purchasing again.",Product Quality,3
21,"Not great, not terrible. Feels like it is missing something.",Product Quality,2
22,"Somewhat disappointed. Expected more based on the description.",Overall Experience,2
23,"Terrible delivery experience. Package was damaged and nobody informed me.",Delivery,1
24,"Worst product I have received this year. Completely useless. Returning immediately.",Product Quality,1
25,"Very disappointed. The item looks nothing like the pictures. This is false advertising.",Product Quality,1
26,"Awful customer service. Waited on hold for 45 minutes and nobody resolved my issue.",Customer Service,1
27,"Broken on arrival. The returns process is a total nightmare. Never buying again.",Overall Experience,1
28,"Complete waste of money. Quality is shockingly poor and it failed after one day.",Product Quality,1
29,"Extremely frustrated. The product is wrong and getting a refund has been impossible.",Customer Service,1
30,"Disgusted by the experience. Damaged goods, no tracking, and zero accountability.",Delivery,1
